,actions,category,drugbank_id,known_action,organism,pubmed_ids,uniprot_id
0,inhibitor,target,DB00001,yes,Human,10505536|10912644|11055889|11467439|11807012|11752352,P00734
1,antagonist,target,DB00002,yes,Human,10480573|10601294|10628369|11408594|11431346|11752352,P00533
2,,target,DB00002,unknown,Human,16336752,O75015
3,,target,DB00002,unknown,Human,17139284|17016423,P00736
4,,target,DB00002,unknown,Human,17139284|17016423,P02745
5,,target,DB00002,unknown,Human,17139284|17016423,P02746
6,,target,DB00002,unknown,Human,17139284|17016423,P02747
7,,target,DB00002,unknown,Human,17139284|17016423|17704420,P08637
8,,target,DB00002,unknown,Human,17139284|17016423,P09871
9,,target,DB00002,unknown,Human,7547242,P12314
10,,target,DB00002,unknown,Human,17139284|17016423|17704420,P12318
11,,target,DB00002,unknown,Human,17139284|17016423,P31994
12,,target,DB00002,unknown,Human,17139284|17016423,P31995
13,binder,target,DB00004,yes,Human,17139284|17016423|2786749|3124610|18684057|17187516|11752352,P01589
14,agonist,target,DB00004,yes,Human,15811959|16516670|18684057|17187516|11752352,P14784
15,,target,DB00004,unknown,Human,15811959|16516670|11707860,P31785
16,antibody,target,DB00005,yes,Human,10206649|10338381|10357816|10375846|10405518|11752352,P01375
17,,target,DB00005,unknown,Human,11752352,P20333
18,,target,DB00005,unknown,Human,17139284|17016423,P12314
19,,target,DB00005,unknown,Human,15457442|15526004,P08637
20,,target,DB00005,unknown,Human,15457442|15526004,P12318
21,,target,DB00005,unknown,Human,17139284|17016423,P31994
22,,target,DB00005,unknown,Human,10800083|7535196,P31995
23,,target,DB00005,unknown,Human,11302411|1328224|15005015|15033655|15695296,P01374
24,,target,DB00005,unknown,Human,10800083|17387033|15457442|15526004,O75015
25,,target,DB00005,unknown,Human,17139284|17016423,P09871
26,,target,DB00005,unknown,Human,17139284|17016423,P00736
27,,target,DB00005,unknown,Human,17139284|17016423,P02745
28,,target,DB00005,unknown,Human,17139284|17016423,P02746
29,,target,DB00005,unknown,Human,17139284|17016423,P02747
30,inhibitor,enzyme,DB00005,unknown,Human,17931716|16303916,P35354
31,inhibitor,target,DB00006,yes,Human,11060732|11504570|11833835|11923794|11929334|11752352,P00734
32,inhibitor,enzyme,DB00006,unknown,Human,18701766,P05164
33,agonist,target,DB00007,yes,Human,16809153|10687850|9625809|15758569|10394541,P30968
34,agonist,target,DB00008,yes,Human,15898717|16953837|19955815|11752352,P48551
35,agonist,target,DB00008,yes,Human,15898717|16953837|19955815|11752352,P17181
36,activator,target,DB00009,yes,Human,18673235|19436656|17963464|11752352,P00747
37,,target,DB00009,yes,Human,18673235|19436656|17963464,P02671
38,,target,DB00009,unknown,Human,17139284|17016423,Q03405
39,,target,DB00009,unknown,Human,17963464,P05121
40,agonist,target,DB00010,yes,Human,14499707|11752352,Q02643
41,agonist,target,DB00011,yes,Human,17139284|17016423|10822464|19955815|11752352,P48551
42,agonist,target,DB00011,yes,Human,17139284|17016423|10822464|19955815|11752352,P17181
43,agonist,target,DB00012,yes,Human,16505108|17575216|11752352,P19235
44,activator,target,DB00013,yes,Human,12658774|12666133|12719778|12720300|12745435|11752352,P00747
45,,target,DB00013,yes,Human,12615913|12817472|14679304|14688365|14720519|17327908,Q03405
46,,target,DB00013,yes,Human,12556741|12579271|12707394|12745435|12824001,P00749
47,,target,DB00013,yes,Human,12745435|12787697|12826021|12893898|14507109,P00750
48,,target,DB00013,yes,Human,12579271|12642587|12709915|12745435|12785198,P05121
49,,target,DB00013,yes,Human,15277569|15351849|15640330|15944795|16327990,P05120
50,,target,DB00013,unknown,Human,17434507|17253188|14645112,P05154
51,,target,DB00013,unknown,Human,17139284|17016423|8241286|1280065|7959795,P98164
52,,target,DB00013,unknown,Human,14747469|12815039,Q9Y5Y6
53,,target,DB00013,unknown,Human,17139284|17016423|1499567,P14543
54,agonist,target,DB00014,yes,Human,17139284|17016423|20053189,P22888
55,agonist,target,DB00014,yes,Human,20053189,P30968
56,activator,target,DB00015,yes,Human,17963464|18673235|19436656|11752352,P00747
57,,target,DB00015,yes,Human,18673235|19436656|17963464,P02671
58,,target,DB00015,unknown,Human,17139284|17016423,Q03405
59,,target,DB00015,unknown,Human,17963464,P05121
60,agonist,target,DB00016,yes,Human,16505108|17575216|11752352,P19235
61,agonist,target,DB00017,unknown,Human,3004987|7610922|9231703|11752352,P30988
62,agonist,target,DB00018,yes,Human,17139284|17016423|15898717|19955815|11752352,P17181
63,agonist,target,DB00018,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P48551
64,agonist,target,DB00019,yes,Human,17001306|12944913|17127322|16033816|15949269|15082029,Q99062
65,,target,DB00019,unknown,Human,14657210|16245075|12958067|15353486|17475913,P08246
66,agonist,target,DB00020,yes,Human,17090651|16760463|17522711|16638185|11752352,P15509
67,agonist,target,DB00020,yes,Human,17562355|17500228|16698686|17522711,P26951
68,agonist,target,DB00020,yes,Human,17139284|17016423|1424804,P32927
69,agonist,target,DB00020,unknown,Human,17139284|17016423|10734053,P34741
70,,target,DB00020,unknown,Human,17383764|16522458|17600316,P13727
71,agonist,target,DB00021,yes,Human,17139284|17016423|11752352,P47872
72,agonist,target,DB00022,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P17181
73,agonist,target,DB00022,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P48551
74,agonist,target,DB00024,yes,Human,15571461|9039330|11752352,P16473
75,activator,target,DB00025,yes,Human,13801371|14285227|236567|6436416|11891806,P00742
76,cofactor,target,DB00025,yes,Human,1119107|2994716|14240634|932529|6422634,P00740
77,binder,target,DB00025,yes,Human,10938981|11858481|14750934|2128855|2942172,P04275
78,antagonist,target,DB00025,unknown,Human,17139284|17016423|11574539,O14832
79,binder,target,DB00025,unknown,Human,17139284|17016423|15946216,P07307
80,chaperone,target,DB00025,unknown,Human,17139284|17016423|9607108,P11021
81,chaperone,target,DB00025,unknown,Human,17139284|17016423|9525969|17899080|9607108|9607108,P27797
82,chaperone,target,DB00025,unknown,Human,17139284|17016423|9525969|15213841|17899080|9607108,P27824
83,chaperone,target,DB00025,unknown,Human,17139284|17016423|14629470|14726380,P49257
84,modulator,target,DB00025,unknown,Human,17139284|17016423|21391865,Q07954
85,modulator,target,DB00025,unknown,Human,17139284|17016423|15886209,Q8NI22
86,activator,enzyme,DB00025,unknown,Human,10688826|1139038|12463731|2402772|3099625,P00734
87,inactivator,enzyme,DB00025,unknown,Human,17139284|17016423|21054189,P04070
88,antagonist,target,DB00026,yes,Human,17498496|12817089|12355453|17083033|11752352|17352828|10210771,P14778
89,inhibitor,transporter,DB00027,unknown,Human,14985103,P08183
90,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P12314
91,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,Q92637
92,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P12318
93,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P31994
94,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P31995
95,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P08637
96,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,O75015
97,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P01024
98,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P0C0L4
99,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P0C0L5
100,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P01031
101,activator,target,DB00029,yes,Human,18673235|19436656|17963464|11752352,P00747
102,,target,DB00029,yes,Human,17139284|17016423,P02671
103,,target,DB00029,unknown,Human,17139284|17016423,Q03405
104,,target,DB00029,unknown,Human,17963464,P05121
105,agonist,target,DB00030,yes,Human,12970169|12038982|17722952|19683471|20230616|11752352,P06213
106,,target,DB00030,unknown,Human,17139284|17016423,P08069
107,,target,DB00030,unknown,Human,17139284|17016423,P06400
108,,target,DB00030,unknown,Human,17139284|17016423,P07339
109,,target,DB00030,unknown,Human,17139284|17016423,P14735
110,,target,DB00030,unknown,Human,17139284|17016423,P16519
111,,target,DB00030,unknown,Human,17139284|17016423,P16870
112,,target,DB00030,unknown,Human,17139284|17016423,P29120
113,,target,DB00030,unknown,Human,17139284|17016423,P48745
114,,target,DB00030,unknown,Human,17139284|17016423,P98164
115,,target,DB00030,unknown,Human,17139284|17016423,Q16270
116,,target,DB00030,unknown,Human,17139284|17016423,Q96C24
117,inducer,enzyme,DB00030,unknown,Human,,P05177
118,activator,target,DB00031,yes,Human,18673235|19436656|17963464|11752352,P00747
119,,target,DB00031,yes,Human,19436656|18673235|17963464,P02671
120,,target,DB00031,unknown,Human,15231724|11447759|12210068,Q03405
121,,target,DB00031,unknown,Human,11163592|14564902|17963464,P05121
122,,target,DB00031,unknown,Human,17141398|7958159|3091604,P05120
123,,target,DB00031,unknown,Human,12694198|9034981|17853709,P05452
124,,target,DB00031,unknown,Human,9988531|8760360|8810346,P05787
125,,target,DB00031,unknown,Human,15194650|10578524|12730231,P07355
126,,target,DB00031,unknown,Human,9359841,P27797
127,,target,DB00031,unknown,Human,9359841,P27824
128,,target,DB00031,unknown,Human,8344937|1378833|16303771,Q07954
129,binder,target,DB00032,yes,Human,17139284|17016423|14680547|7872378|11752352,P23945
130,,target,DB00032,yes,Human,17139284|17016423|14680547|7872378,P22888
131,binder,target,DB00033,yes,Human,17251453|17618444|11752352,P15260
132,binder,target,DB00033,yes,Human,17239631|17618444|11752352,P38484
133,,target,DB00034,yes,Human,15898717|18230610,P17181
134,,target,DB00034,yes,Human,15898717|18230610,P48551
135,agonist,target,DB00035,yes,Human,18761325|16333859|11752352,P30518
136,,target,DB00035,yes,Human,10731046|10594321|8957254|15613460,P37288
137,,target,DB00035,yes,Human,15613460|14971638|18655906,P47901
138,inducer,enzyme,DB00035,unknown,Human,15644490,P23219
139,inducer,enzyme,DB00035,unknown,Human,15644490,P35354
140,,target,DB00036,unknown,Human,5969560|13801371|13713641|14227143|13621053,P00742
141,,target,DB00036,unknown,Human,17139284|17016423,P05981
142,,target,DB00036,unknown,Human,11772005|7559599|8700900|12974870|11238112,P10646
143,,target,DB00036,unknown,Human,17139284|17016423|10901669,P38435
144,,target,DB00036,unknown,Human,10388743|11735107|12525826|15907148|16370916,P08709
145,,target,DB00036,unknown,Human,13713641|1586032|6658368,P13726
146,agonist,target,DB00038,yes,Human,11012177|11570967|8637716|8676079|9310465|11752352,Q14626
147,binder,target,DB00039,yes,Human,17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352,P21802
148,,target,DB00039,unknown,Human,10821861|9094999|9890894,O14786
149,,target,DB00039,unknown,Human,11714710|10950949|11091737|10212269|9890894,P11362
150,,target,DB00039,unknown,Human,7526860|10950949|9755102|9843417|11149756,P22455
151,,target,DB00039,unknown,Human,11422746|11149756|10821861|7890137|7680555,P22607
152,,target,DB00039,unknown,Human,10593896|9788974|16989989|14753849,P98160
153,agonist,target,DB00040,yes,Human,17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028,P47871
154,,target,DB00040,unknown,Human,17139284|17016423|11212269|9990065|15817468|12529935,O95838
155,,target,DB00040,unknown,Human,17475961|17498508|17534934|12529935,P43220
156,agonist|modulator,target,DB00041,yes,Human,16477002|16542139|16569767|16596189|16617454|11752352,P14784
157,agonist|modulator,target,DB00041,yes,Human,17216565|16767920|17530023|17584597|16864089|11752352|10207608,P01589
158,agonist,target,DB00041,yes,Human,16477002|17598841|17635814|17083048|17363735,P31785
159,inducer,enzyme,DB00041,unknown,Human,10823885|18209082,P35354
160,inducer,enzyme,DB00041,unknown,Human,8536274,P47712
161,inhibitor,enzyme,DB00041,unknown,Human,10086330|14977871,P08684
162,inducer,enzyme,DB00041,unknown,Human,8032542,P47989
163,inhibitor,enzyme,DB00041,unknown,Human,10086330,P05181
164,binder,target,DB00042,yes,Human,14573702|11752352,P63027
165,binder,target,DB00042,yes,Human,17139284|17016423|11752352,P23763
166,,target,DB00042,yes,Human,17139284|17016423|19576489,Q8N9I0
167,,target,DB00043,yes,Human,15356552|17368811,P12319
168,antagonist,target,DB00043,yes,Human,17139284|17016423|17073688,Q01362
169,agonist,target,DB00044,yes,Human,17139284|17016423|20161981|11752352,P22888
170,other/unknown,target,DB00045,yes,Human,14617145,O60603
171,agonist,target,DB00046,yes,Human,11752352|8964871|8937933|20424816,P06213
172,,target,DB00046,unknown,Human,20392809,P08069
173,inducer,enzyme,DB00046,unknown,Human,,P05177
174,agonist,target,DB00047,yes,Human,11752352|17922476|20424816|18585815,P06213
175,agonist,target,DB00047,unknown,Human,20392809,P08069
176,inducer,enzyme,DB00047,unknown,Human,,P05177
177,,target,DB00048,unknown,Human,17440987|12855673|12535212|12101112|15659034,P02452
178,,target,DB00048,unknown,Human,14613270|17652426|16507130|15299286|12890681,P02458
179,,target,DB00048,unknown,Human,17139284|17016423|2145268,P02461
180,,target,DB00048,unknown,Human,12101112,P08123
181,antagonist,target,DB00050,yes,Human,11854630|12606421|14561652|14605254|16809153|11752352,P30968
182,,target,DB00050,unknown,Human,17139284|17016423|11943741,P22888
183,antibody,target,DB00051,yes,Human,12044041|14532145|15022409|15046527|15200343|11752352,P01375
184,,target,DB00051,unknown,Human,17139284|17016423,O75015
185,,target,DB00051,unknown,Human,17139284|17016423,P00736
186,,target,DB00051,unknown,Human,17139284|17016423,P02745
187,,target,DB00051,unknown,Human,17139284|17016423,P02746
188,,target,DB00051,unknown,Human,17139284|17016423,P02747
189,,target,DB00051,unknown,Human,17139284|17016423,P08637
190,,target,DB00051,unknown,Human,17139284|17016423,P09871
191,,target,DB00051,unknown,Human,17139284|17016423,P12314
192,,target,DB00051,unknown,Human,17139284|17016423,P12318
193,,target,DB00051,unknown,Human,17139284|17016423,P31994
194,,target,DB00051,unknown,Human,17139284|17016423,P31995
195,binder,target,DB00052,yes,Human,16917171|16965663|17082603|17128263|17133434|11752352,P10912
196,,target,DB00052,yes,Human,17279774|17395896|17317019|2270485,P16471
197,antagonist,target,DB00054,yes,Human,11588534|12165285|17441904|11752352|18510478|12749745,P05106
198,antagonist,target,DB00054,yes,Human,19499855|18510478|12749745,P08514
199,,target,DB00054,unknown,Human,17139284|17016423,O75015
200,,target,DB00054,unknown,Human,17139284|17016423,P00736
201,,target,DB00054,unknown,Human,17139284|17016423,P02745
202,,target,DB00054,unknown,Human,17139284|17016423,P02746
203,,target,DB00054,unknown,Human,17139284|17016423,P02747
204,,target,DB00054,unknown,Human,17139284|17016423,P08637
205,,target,DB00054,unknown,Human,17139284|17016423,P09871
206,,target,DB00054,unknown,Human,17139284|17016423,P12314
207,,target,DB00054,unknown,Human,17139284|17016423,P12318
208,,target,DB00054,unknown,Human,17139284|17016423,P31994
209,,target,DB00054,unknown,Human,17139284|17016423,P31995
210,,target,DB00054,unknown,Human,17160551|12749745,P04004
211,multitarget,target,DB00055,yes,Human,9184404|18954704|11752352,P00451
212,multitarget,target,DB00055,yes,Human,11236773|11714212|11893230|12004250|12030642|11752352,P12259
213,,target,DB00055,unknown,Human,11259926|17566522|12004248|14515185,P05121
214,,target,DB00055,unknown,Human,11804648|15252033|1660324|2836377|3039877,P07204
215,,target,DB00055,unknown,Human,12062545|1828915|3160800,P07225
216,,target,DB00055,unknown,Human,17139284|17016423,P00450
217,,target,DB00055,unknown,Human,10463819|12062545|12070133|12208873|12296618,P00734
218,,target,DB00055,unknown,Human,11259926,P02776
219,,target,DB00055,unknown,Human,10456457|7769227|9620917|8391599|12671072,P05154
220,,target,DB00055,unknown,Human,17139284|17016423,P35237
221,,target,DB00055,unknown,Human,17139284|17016423,P38435
222,,target,DB00055,unknown,Human,9529319|12871285|12353077|17566522|15118520,Q9UNN8
223,antibody,target,DB00056,yes,Human,10942240|11249747|11342449|11410481|11432892|20564405|11752352,P20138
224,,target,DB00056,unknown,Human,9815888|9649182|7509291,O75015
225,,target,DB00056,unknown,Human,17139284|17016423,P00736
226,,target,DB00056,unknown,Human,17139284|17016423,P02745
227,,target,DB00056,unknown,Human,17139284|17016423,P02746
228,,target,DB00056,unknown,Human,17139284|17016423,P02747
229,,target,DB00056,unknown,Human,17139284|17016423|7509291,P08637
230,,target,DB00056,unknown,Human,17139284|17016423,P09871
231,,target,DB00056,unknown,Human,7509291,P12314
232,,target,DB00056,unknown,Human,17139284|17016423,P12318
233,,target,DB00056,unknown,Human,17139284|17016423,P31994
234,,target,DB00056,unknown,Human,17139284|17016423,P31995
235,inhibitor,target,DB00058,yes,Human,20521180|16773239|11752352,P08246
236,agonist,target,DB00060,yes,Human,10049744|16912135|12034032|11747625,P17181
237,,target,DB00060,yes,Human,16912135|11747625,P48551
238,binder,target,DB00061,unknown,Human,9299436,P62993
239,,target,DB00062,unknown,Human,16554356|17553935|12887764|17141733|12860569,P02649
240,,target,DB00062,unknown,Human,17139284|17016423,P0DJI8
241,,target,DB00062,unknown,Human,15452109,P02760
242,inhibitor,enzyme,DB00062,unknown,Human,15325841,P11712
243,substrate,enzyme,DB00062,unknown,Human,16443167|16125131,P05164
244,inducer,enzyme,DB00062,unknown,Human,18362158,O60656
245,,target,DB00063,yes,Human,11588534|14618072|15860200|12360110|14617694|12928738|10592235,P05106
246,,target,DB00064,unknown,Human,17139284|17016423|17378158|16441928,P02649
247,,target,DB00064,unknown,Human,17139284|17016423|10361047|10903648|9200475,P0DJI8
248,,target,DB00064,unknown,Human,17139284|17016423,P02760
249,inhibitor,target,DB00065,yes,Human,11752352|17642244|16052578|16456024|15674127|16622728|12110154|15481318|15691217|15691299|15804598,P01375
250,agonist,target,DB00066,yes,Human,11299519|7755615|2108722|8319832|8070368|18020563|11752352,P23945
251,agonist,target,DB00067,yes,Human,17020465|16333859|16563128|17287200|11752352,P30518
252,,target,DB00067,yes,Human,17275806|16532916|16511036|16011575|17303660,P37288
253,,target,DB00067,yes,Human,17027167|16720725|17284170|16114100|15993108,P47901
254,substrate,transporter,DB00067,unknown,Human,10692506,Q92887
255,agonist,target,DB00068,yes,Human,10049744|11752352,P17181
256,agonist,target,DB00068,yes,Human,10049744|11752352,P48551
257,binder,target,DB00069,yes,Human,17139284|17016423|12528473|11752352,P17181
258,binder,target,DB00069,yes,Human,8836913|12528473|11752352,P48551
259,inhibitor,target,DB00070,unknown,Human,11327694|7648625|9435505|9850732,P01137
260,inhibitor,carrier,DB00070,unknown,Human,10036158|10466114,P02768
261,binder,target,DB00071,yes,Human,12038982|12970169|11752352,P06213
262,,target,DB00071,unknown,Human,17139284|17016423|9846170|9582514|7476290,P08069
263,,target,DB00071,unknown,Human,17139284|17016423|8504733|9643444|13560210,P14735
264,,target,DB00071,unknown,Human,17139284|17016423|8200980|11006709|9458118,P01906
265,,target,DB00071,unknown,Human,17139284|17016423|1728861|1612232|10592235,P01920
266,,target,DB00071,unknown,Human,17139284|17016423|1701386,P06400
267,,target,DB00071,unknown,Human,17139284|17016423|11779865|10229502|9130467,P07339
268,,target,DB00071,unknown,Human,17139284|17016423|12588113|2481446|9452465,P16870
269,,target,DB00071,unknown,Human,17139284|17016423|17221210|9662053|8666140,P16519
270,,target,DB00071,unknown,Human,17139284|17016423|1435788|12136131|17097861,P29120
271,,target,DB00071,unknown,Human,17139284|17016423|10084601|12149257|8622864,P48745
272,,target,DB00071,unknown,Human,17139284|17016423|9773776|9051350|17018843,P98164
273,,target,DB00071,unknown,Human,17139284|17016423|11089538|17475416|10383131,Q16270
274,,target,DB00071,unknown,Human,17139284|17016423|16216924|16831872|15028737,Q96C24
275,inducer,enzyme,DB00071,unknown,Human,,P05177
276,antibody,target,DB00072,yes,Human,11752352|18690878|17660958|11098307,P04626
277,,target,DB00072,unknown,Human,11752352,P00533
278,,target,DB00072,unknown,Human,17139284|17016423,P00736
279,,target,DB00072,unknown,Human,17139284|17016423,P02745
280,,target,DB00072,unknown,Human,17139284|17016423,P02746
281,,target,DB00072,unknown,Human,17139284|17016423,P02747
282,,target,DB00072,unknown,Human,17139284|17016423,P09871
283,,target,DB00072,unknown,Human,17139284|17016423|9435876,P12314
284,,target,DB00072,unknown,Human,17139284|17016423|17704420,P12318
285,,target,DB00072,unknown,Human,17139284|17016423,P31994
286,,target,DB00072,unknown,Human,17139284|17016423,P31995
287,,target,DB00072,unknown,Human,16109421|15471859|14666732|15868915|15680154,O75015
288,,target,DB00072,unknown,Human,17363544,P08637
289,inhibitor,enzyme,DB00072,unknown,Human,19934256,P11511
290,antibody,target,DB00073,yes,Human,11752352|20350667|20350663,P11836
291,,target,DB00073,unknown,Human,15659493|16109421|16825493|17475906,O75015
292,,target,DB00073,unknown,Human,17139284|17016423,P00736
293,,target,DB00073,unknown,Human,17139284|17016423|12874252,P02745
294,,target,DB00073,unknown,Human,17139284|17016423,P02746
295,,target,DB00073,unknown,Human,17139284|17016423,P02747
296,,target,DB00073,unknown,Human,15448014|17324336|16609067,P08637
297,,target,DB00073,unknown,Human,17139284|17016423,P09871
298,,target,DB00073,unknown,Human,17139284|17016423,P12314
299,,target,DB00073,unknown,Human,17324336|16609067,P12318
300,,target,DB00073,unknown,Human,17139284|17016423,P31994
301,,target,DB00073,unknown,Human,17139284|17016423,P31995
302,antibody,target,DB00074,yes,Human,12591363|9695721|16908318|10512062|10567956|11752352,P01589
303,antibody,target,DB00074,unknown,Human,10188761|10708100|11840795|12667677|12826150|11752352,P14784
304,,target,DB00074,unknown,Human,17139284|17016423,P12314
305,,target,DB00074,unknown,Human,17139284|17016423,P08637
306,,target,DB00074,unknown,Human,17139284|17016423,P12318
307,,target,DB00074,unknown,Human,17139284|17016423,P31994
308,,target,DB00074,unknown,Human,17139284|17016423,P31995
309,,target,DB00074,unknown,Human,17139284|17016423,O75015
310,,target,DB00074,unknown,Human,17139284|17016423,P09871
311,,target,DB00074,unknown,Human,17139284|17016423,P00736
312,,target,DB00074,unknown,Human,17139284|17016423,P02745
313,,target,DB00074,unknown,Human,17139284|17016423,P02746
314,,target,DB00074,unknown,Human,17139284|17016423,P02747
315,,target,DB00075,yes,Human,2503348|8861551,P04234
316,binder,target,DB00075,yes,Human,17139284|17016423|11752352,P07766
317,,target,DB00075,yes,Human,2503348|8861551,P09693
318,,target,DB00075,yes,Human,2503348|8861551,P20963
319,,target,DB00075,unknown,Human,10851527|10851498,O75015
320,,target,DB00075,unknown,Human,17139284|17016423,P00736
321,,target,DB00075,unknown,Human,17139284|17016423,P02745
322,,target,DB00075,unknown,Human,17139284|17016423,P02746
323,,target,DB00075,unknown,Human,17139284|17016423,P02747
324,,target,DB00075,unknown,Human,17139284|17016423,P08637
325,,target,DB00075,unknown,Human,17139284|17016423,P09871
326,,target,DB00075,unknown,Human,17139284|17016423,P12314
327,,target,DB00075,unknown,Human,17139284|17016423,P12318
328,,target,DB00075,unknown,Human,17139284|17016423,P31994
329,,target,DB00075,unknown,Human,17139284|17016423,P31995
330,antibody,target,DB00078,yes,Human,10541376|11418316|11879282|12011122|15045033|11752352|20113680,P11836
331,,target,DB00078,unknown,Human,17139284|17016423,O75015
332,,target,DB00078,unknown,Human,17139284|17016423,P00736
333,,target,DB00078,unknown,Human,17139284|17016423,P02745
334,,target,DB00078,unknown,Human,17139284|17016423,P02746
335,,target,DB00078,unknown,Human,17139284|17016423,P02747
336,,target,DB00078,unknown,Human,17139284|17016423,P08637
337,,target,DB00078,unknown,Human,17139284|17016423,P09871
338,,target,DB00078,unknown,Human,17139284|17016423,P12314
339,,target,DB00078,unknown,Human,17139284|17016423,P12318
340,,target,DB00078,unknown,Human,17139284|17016423,P31994
341,,target,DB00078,unknown,Human,17139284|17016423,P31995
342,antibody,target,DB00081,yes,Human,11418316|11879282|12899647|14748653|15023434|11752352|13129395,P11836
343,,target,DB00081,unknown,Human,17139284|17016423,O75015
344,,target,DB00081,unknown,Human,17139284|17016423,P00736
345,,target,DB00081,unknown,Human,17139284|17016423,P02745
346,,target,DB00081,unknown,Human,17139284|17016423,P02746
347,,target,DB00081,unknown,Human,17139284|17016423,P02747
348,,target,DB00081,unknown,Human,17139284|17016423,P08637
349,,target,DB00081,unknown,Human,17139284|17016423,P12314
350,,target,DB00081,unknown,Human,17139284|17016423,P12318
351,,target,DB00081,unknown,Human,17139284|17016423,P31994
352,,target,DB00081,unknown,Human,17139284|17016423,P31995
353,antagonist,target,DB00082,yes,Human,19820031|17322491|11752352|20595800,P10912
354,inducer,enzyme,DB00082,unknown,Human,12597773,Q02318
355,inhibitor,enzyme,DB00082,unknown,Human,1970314,P15104
356,inhibitor,enzyme,DB00082,unknown,Human,19339376,P33260
357,inducer,enzyme,DB00082,unknown,Human,9661620|16291874,P08684
358,inhibitor,enzyme,DB00082,unknown,Human,3948777,P06276
359,inhibitor,enzyme,DB00082,unknown,Human,19339376,P33261
360,inhibitor,enzyme,DB00082,unknown,Human,19366684,Q02928
361,inhibitor,target,DB00083,yes,Human,14644446|15222581|15484814|15749336|16831062|11752352,P60880
362,,target,DB00083,unknown,Human,15140914,P62745
363,activator,target,DB00086,yes,Human,10569766|10581996|10631997|10664583|10726310|11752352,P00747
364,cleavage,target,DB00086,unknown,Human,10666203,P25116
365,inducer,enzyme,DB00086,unknown,Human,2265209,P47712
366,antibody,target,DB00087,yes,Human,10092828|10366506|10520035|10573085|10744652|11752352|19479612|19343298,P31358
367,,target,DB00087,unknown,Human,9337053|8707338|9020367,O75015
368,,target,DB00087,unknown,Human,17139284|17016423,P00736
369,,target,DB00087,unknown,Human,17139284|17016423,P02745
370,,target,DB00087,unknown,Human,17139284|17016423,P02746
371,,target,DB00087,unknown,Human,17139284|17016423,P02747
372,,target,DB00087,unknown,Human,15217834,P08637
373,,target,DB00087,unknown,Human,17139284|17016423,P12314
374,,target,DB00087,unknown,Human,15217834,P12318
375,,target,DB00087,unknown,Human,17139284|17016423,P31994
376,,target,DB00087,unknown,Human,17139284|17016423,P31995
377,other/unknown,target,DB00089,yes,Human,11016653|15882479|9508077|9792131|11752352,Q04609
378,binder,target,DB00091,yes,Human,17139284|17016423|20927389|20674565|20602248|20637127,P49069
379,inhibitor,target,DB00091,yes,Human,17139284|17016423|20674565,Q96LZ3
380,,target,DB00091,unknown,Human,16641261|16849427|17461417|17609268|20637127|20368803,P62937
381,binder,target,DB00091,unknown,Human,6238408,P30405
382,substrate|inducer,enzyme,DB00091,unknown,Human,19934256,P24462
383,substrate|inducer,enzyme,DB00091,unknown,Human,19934256,P20815
384,substrate|inhibitor,enzyme,DB00091,unknown,Human,19934256|10490933,P08684
385,inhibitor,enzyme,DB00091,unknown,Human,19934256,P33261
386,inhibitor,enzyme,DB00091,unknown,Human,19934256,P10632
387,inhibitor,enzyme,DB00091,unknown,Human,19934256,P11712
388,inhibitor,enzyme,DB00091,unknown,Human,19934256,P10635
389,substrate|inhibitor|inducer,transporter,DB00091,unknown,Human,12387747|10820137|10891114|11405287|11716514|11784143|11961113|12134945|12604693|12636153|12699389|12724138|12975485|14604686|7514263|8960059|9205004|9262363|9732409|9914792|10087141|10198227|10604964|14744620|15023456|15504753|14985103|12235267|19530439|19319690|11602674|11785684|12880295|12948019|7681059|8842452|9333100|10227700|17045309,P08183
390,inhibitor,transporter,DB00091,unknown,Human,11585759,O15438
391,inhibitor,transporter,DB00091,unknown,Human,12404239|12739759|11343252|10617675|10648470|11752352,O95342
392,inhibitor,transporter,DB00091,unknown,Human,12373300|7961706,P33527
393,inhibitor,transporter,DB00091,unknown,Human,11883641,P46721
394,inhibitor,transporter,DB00091,unknown,Human,9458785,Q12908
395,inhibitor,transporter,DB00091,unknown,Human,9486191,Q14973
396,inhibitor,transporter,DB00091,unknown,Human,9374486,Q4U2R8
397,inhibitor,transporter,DB00091,unknown,Human,12527806,Q5T3U5
398,inhibitor,transporter,DB00091,unknown,Human,12134946|14511674|10421658|10570049|15618649,Q92887
